Date,Open,High,Low,Close,Volume
2018-01-02 00:00:00,1302.67,1318.87,1302.21,1317.33,200819
2018-01-03 00:00:00,1317.39,1321.41,1307.4,1313.05,203129
2018-01-04 00:00:00,1312.83,1325.96,1305.85,1322.65,215943
2018-01-05 00:00:00,1322.58,1323.4,1313.62,1319.25,213395
2018-01-08 00:00:00,1320.74,1322.11,1314.78,1320.35,159421
2018-01-09 00:00:00,1320.14,1320.43,1308.78,1312.72,217085
2018-01-10 00:00:00,1312.25,1327.68,1308.2,1316.57,275714
2018-01-11 00:00:00,1316.7,1323.92,1315.66,1322.3,234826
2018-01-12 00:00:00,1322.59,1339.33,1321.53,1337.56,255624
2018-01-15 00:00:00,1336.47,1344.71,1335.83,1339.62,161847
2018-01-16 00:00:00,1340.22,1342.22,1331.86,1338.34,247715
2018-01-17 00:00:00,1338.34,1343.94,1325.65,1326.05,287123
2018-01-18 00:00:00,1326.74,1333.08,1324.16,1326.75,270686
2018-01-19 00:00:00,1326.55,1338.03,1326.26,1331.62,250879
2018-01-22 00:00:00,1333.67,1335.69,1328.38,1333.88,201954
2018-01-23 00:00:00,1333.7,1341.75,1331.32,1341.29,236337
2018-01-24 00:00:00,1341.43,1362.08,1339.47,1358.35,278218
2018-01-25 00:00:00,1357.44,1366.03,1342.43,1348.22,374537
2018-01-26 00:00:00,1347.02,1357.09,1344.58,1349.81,325397
2018-01-29 00:00:00,1349.63,1352.36,1337.56,1340.27,251444
2018-01-30 00:00:00,1340.65,1348.91,1334.42,1338.47,303372
2018-01-31 00:00:00,1338.1,1347.53,1332.65,1344.99,319521
2018-02-01 00:00:00,1344.68,1351.0,1337.22,1348.74,313040
2018-02-02 00:00:00,1349.05,1350.03,1327.42,1332.9,353419
2018-02-05 00:00:00,1331.78,1341.57,1328.97,1339.48,376782
2018-02-06 00:00:00,1339.63,1346.06,1320.2,1324.29,554328
2018-02-07 00:00:00,1323.72,1332.27,1311.39,1318.38,410023
2018-02-08 00:00:00,1317.96,1322.13,1307.03,1318.79,434646
2018-02-09 00:00:00,1318.2,1322.66,1311.11,1315.94,448137
2018-02-12 00:00:00,1314.87,1326.77,1314.14,1322.48,289079
2018-02-13 00:00:00,1322.43,1331.04,1321.59,1329.32,317416
2018-02-14 00:00:00,1329.38,1355.49,1316.98,1350.38,420243
2018-02-15 00:00:00,1349.94,1357.11,1348.54,1353.19,336979
2018-02-16 00:00:00,1353.57,1361.71,1344.74,1347.07,321981
2018-02-19 00:00:00,1347.47,1351.36,1345.78,1346.63,163108
2018-02-20 00:00:00,1346.6,1348.16,1328.46,1329.4,290948
2018-02-21 00:00:00,1328.84,1336.2,1322.36,1324.42,334317
2018-02-22 00:00:00,1323.62,1332.1,1320.92,1332.0,304124
2018-02-23 00:00:00,1331.26,1332.13,1325.79,1328.6,247986
2018-02-26 00:00:00,1328.16,1341.02,1326.65,1333.22,267028
2018-02-27 00:00:00,1332.51,1336.7,1313.4,1318.42,313322
2018-02-28 00:00:00,1317.71,1322.52,1315.6,1318.03,284649
2018-03-01 00:00:00,1317.96,1321.14,1302.78,1316.92,401279
2018-03-02 00:00:00,1317.07,1325.43,1315.21,1322.37,340023
2018-03-05 00:00:00,1323.72,1327.75,1317.5,1320.26,331605
2018-03-06 00:00:00,1319.72,1338.44,1319.6,1334.58,334089
2018-03-07 00:00:00,1337.62,1340.44,1322.16,1325.48,355889
2018-03-08 00:00:00,1325.02,1329.01,1319.0,1321.87,302056
2018-03-09 00:00:00,1321.67,1325.12,1312.77,1323.33,310277
2018-03-12 00:00:00,1323.37,1324.24,1315.05,1322.98,230185
2018-03-13 00:00:00,1322.75,1328.3,1313.77,1326.34,285424
2018-03-14 00:00:00,1326.26,1330.0,1321.41,1324.89,272847
2018-03-15 00:00:00,1324.29,1327.88,1314.91,1316.08,251914
2018-03-16 00:00:00,1316.02,1321.71,1309.61,1313.73,251063
2018-03-19 00:00:00,1313.17,1319.6,1307.75,1316.85,259709
2018-03-19 01:00:00,1313.17,1314.39,1312.99,1313.15,2983
2018-03-19 02:00:00,1313.15,1313.78,1312.78,1313.18,3955
2018-03-19 03:00:00,1313.16,1313.17,1311.4,1311.65,11742
2018-03-19 04:00:00,1311.63,1312.01,1310.13,1311.68,11773
2018-03-19 05:00:00,1311.69,1312.2,1311.46,1311.97,5867
2018-03-19 06:00:00,1311.96,1312.17,1311.57,1312.0,4018
2018-03-19 07:00:00,1312.01,1312.61,1311.24,1311.58,4705
2018-03-19 08:00:00,1311.55,1312.1,1308.74,1309.89,8620
2018-03-19 09:00:00,1309.9,1310.09,1307.75,1309.53,8583
2018-03-19 10:00:00,1309.48,1310.3,1308.84,1308.85,9945
2018-03-19 11:00:00,1308.86,1311.04,1308.41,1310.8,12893
2018-03-19 12:00:00,1310.79,1312.0,1310.3,1311.49,10065
2018-03-19 13:00:00,1311.46,1313.01,1311.38,1311.54,11329
2018-03-19 14:00:00,1311.54,1311.58,1309.25,1310.1,11658
2018-03-19 15:00:00,1310.09,1313.24,1309.93,1312.1,21928
2018-03-19 16:00:00,1312.08,1314.17,1311.14,1313.4,20390
2018-03-19 17:00:00,1313.38,1314.3,1311.7,1313.23,19785
2018-03-19 18:00:00,1313.22,1319.07,1312.06,1318.13,24015
2018-03-19 19:00:00,1318.1,1319.6,1317.38,1317.58,17826
2018-03-19 20:00:00,1317.57,1318.7,1317.17,1317.92,13019
2018-03-19 21:00:00,1317.92,1318.55,1316.94,1318.2,10406
2018-03-19 22:00:00,1318.2,1318.22,1316.63,1316.73,10590
2018-03-19 23:00:00,1316.77,1317.18,1316.29,1316.85,3614
2018-03-20 01:00:00,1316.57,1317.22,1316.5,1317.0,2714
2018-03-20 02:00:00,1317.04,1318.24,1316.91,1317.05,4208
2018-03-20 03:00:00,1317.03,1317.41,1315.59,1316.32,11161
2018-03-20 04:00:00,1316.3,1316.99,1315.64,1316.15,10505
2018-03-20 05:00:00,1316.14,1317.32,1316.09,1316.58,5775
2018-03-20 06:00:00,1316.59,1316.6,1316.08,1316.46,5064
2018-03-20 07:00:00,1316.45,1316.67,1315.2,1315.56,5540
2018-03-20 08:00:00,1315.55,1315.67,1314.64,1315.26,6032
2018-03-20 09:00:00,1315.25,1316.91,1315.11,1316.15,6589
2018-03-20 10:00:00,1316.15,1316.15,1314.38,1315.27,13008
2018-03-20 11:00:00,1315.29,1315.29,1313.98,1315.14,11930
2018-03-20 12:00:00,1315.14,1316.41,1312.8,1313.15,13801
2018-03-20 13:00:00,1313.15,1313.49,1311.81,1313.44,10942
2018-03-20 14:00:00,1313.41,1313.5,1311.69,1311.69,9757
2018-03-20 15:00:00,1311.69,1312.0,1309.56,1311.96,17225
2018-03-20 16:00:00,1311.96,1312.2,1308.11,1309.57,22864
2018-03-20 17:00:00,1309.57,1310.16,1307.17,1308.91,21382
2018-03-20 18:00:00,1308.91,1313.23,1308.91,1311.48,23090
2018-03-20 19:00:00,1311.52,1313.22,1309.93,1310.34,17365
2018-03-20 20:00:00,1310.37,1312.73,1310.14,1312.21,11795
2018-03-20 21:00:00,1312.26,1312.59,1310.41,1310.63,7755
2018-03-20 22:00:00,1310.65,1310.94,1309.36,1310.44,7427
2018-03-20 23:00:00,1310.45,1311.3,1310.21,1311.09,3725
2018-03-21 01:00:00,1310.68,1311.72,1310.37,1311.28,1735
2018-03-21 02:00:00,1311.28,1311.8,1309.88,1310.02,2958
2018-03-21 03:00:00,1310.03,1311.13,1309.81,1311.07,4734
2018-03-21 04:00:00,1311.09,1313.27,1310.7,1313.22,7774
2018-03-21 05:00:00,1313.22,1314.03,1312.88,1313.19,5983
2018-03-21 06:00:00,1313.23,1314.51,1313.1,1314.03,4519
2018-03-21 07:00:00,1314.04,1314.48,1313.29,1313.55,2933
2018-03-21 08:00:00,1313.56,1314.17,1312.74,1313.17,3885
